t,id,x,y,r
0,0,-7.12402,18.9971,0.250993
0.01,0,-7.12328,18.9969,0.250993
0.02,0,-7.12217,18.9965,0.250993
0.03,0,-7.12071,18.996,0.250993
0.04,0,-7.1189,18.9954,0.250993
0.05,0,-7.11675,18.9947,0.250993
0.06,0,-7.11427,18.9939,0.250993
0.07,0,-7.11146,18.9929,0.250993
0.08,0,-7.10833,18.9919,0.250993
0.09,0,-7.10488,18.9907,0.250993
0.1,0,-7.10113,18.9895,0.250993
0.11,0,-7.09708,18.9881,0.250993
0.12,0,-7.09272,18.9867,0.250993
0.13,0,-7.08808,18.9851,0.250993
0.14,0,-7.08316,18.9835,0.250993
0.15,0,-7.07796,18.9817,0.250993
0.16,0,-7.07248,18.9799,0.250993
0.17,0,-7.06674,18.978,0.250993
0.18,0,-7.06073,18.976,0.250993
0.19,0,-7.05447,18.9739,0.250993
0.2,0,-7.04796,18.9717,0.250993
0.21,0,-7.0412,18.9695,0.250993
0.22,0,-7.0342,18.9671,0.250993
0.23,0,-7.02696,18.9647,0.250993
0.24,0,-7.01949,18.9622,0.250993
0.25,0,-7.01179,18.9596,0.250993
0.26,0,-7.00388,18.957,0.250993
0.27,0,-6.99574,18.9543,0.250993
0.28,0,-6.98739,18.9515,0.250993
0.29,0,-6.97883,18.9486,0.250993
0.3,0,-6.97007,18.9457,0.250993
0.31,0,-6.96111,18.9427,0.250993
0.32,0,-6.95195,18.9397,0.250993
0.33,0,-6.9426,18.9366,0.250993
0.34,0,-6.93306,18.9334,0.250993
0.35,0,-6.92334,18.9301,0.250993
0.36,0,-6.91344,18.9268,0.250993
0.37,0,-6.90336,18.9235,0.250993
0.38,0,-6.89311,18.92,0.250993
0.39,0,-6.88269,18.9166,0.250993
0.4,0,-6.87211,18.913,0.250993
0.41,0,-6.86137,18.9095,0.250993
0.42,0,-6.85047,18.9058,0.250993
0.43,0,-6.83941,18.9022,0.250993
0.44,0,-6.82821,18.8984,0.250993
0.45,0,-6.81685,18.8946,0.250993
0.46,0,-6.80536,18.8908,0.250993
0.47,0,-6.79372,18.8869,0.250993
0.48,0,-6.78195,18.883,0.250993
0.49,0,-6.77004,18.879,0.250993
0.5,0,-6.758,18.875,0.250993
0.51,0,-6.74583,18.871,0.250993
0.52,0,-6.73354,18.8669,0.250993
0.53,0,-6.72113,18.8628,0.250993
0.54,0,-6.70859,18.8586,0.250993
0.55,0,-6.69594,18.8544,0.250993
0.56,0,-6.68318,18.8501,0.250993
0.57,0,-6.6703,18.8459,0.250993
0.58,0,-6.65731,18.8415,0.250993
0.59,0,-6.64422,18.8372,0.250993
0.6,0,-6.63102,18.8328,0.250993
0.61,0,-6.61772,18.8284,0.250993
0.62,0,-6.60432,18.8239,0.250993
0.63,0,-6.59083,18.8194,0.250993
0.64,0,-6.57724,18.8149,0.250993
0.65,0,-6.56355,18.8104,0.250993
0.66,0,-6.54978,18.8058,0.250993
0.67,0,-6.53592,18.8012,0.250993
0.68,0,-6.52197,18.7966,0.250993
0.69,0,-6.50794,18.7919,0.250993
0.7,0,-6.49383,18.7872,0.250993
0.71,0,-6.47963,18.7825,0.250993
0.72,0,-6.46537,18.7778,0.250993
0.73,0,-6.45102,18.773,0.250993
0.74,0,-6.43661,18.7682,0.250993
0.75,0,-6.42211,18.7634,0.250993
0.76,0,-6.40754,18.7586,0.250993
0.77,0,-6.39291,18.7537,0.250993
0.78,0,-6.3782,18.7488,0.250993
0.79,0,-6.36343,18.7439,0.250993
0.8,0,-6.34859,18.739,0.250993
